Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",702.243,618.954,588.015,562.499,532.339,557.561,772.838,935.117,"1,020.88","1,026.18","1,272.43","1,273.59","1,404.39","1,324.24","1,396.65","1,602.13","1,606.04","1,454.56","1,505.18","1,494.57","1,365.97","1,377.41","1,498.91","1,843.65","2,117.96","2,199.68","2,320.53","2,660.90","2,932.22","2,697.04","2,647.54","2,864.03","2,685.31","2,811.96","2,856.70","2,439.44","2,466.15","2,587.68","2,794.70","2,844.70","2,979.44",2017
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.022,5.327,6.509,7.764,9.474,10.163,12.457,15.582,12.184,14.385,18.203,17.181,17.596,18.209,14.385,14.02,14.93,17.212,17.799,18.806,2016
The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.631,0.604,0.571,0.574,0.413,0.502,0.392,0.525,0.61,0.64,0.751,0.793,0.855,0.916,0.907,0.948,0.989,1.025,1.052,1.08,1.052,1.045,0.924,0.879,1.003,1.078,1.071,1.274,1.613,1.488,1.63,1.398,1.423,1.367,1.259,1.37,1.445,1.482,1.605,1.704,1.824,2017
Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.827,1.907,3.063,3.511,3.607,2.805,3.057,3.218,3.396,3.991,5.126,6.411,7.745,10.173,12.795,10.767,11.638,14.435,15.847,16.141,16.515,13.996,14.376,15.158,16.716,17.836,19.276,2016
Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",850.475,715.546,690.923,689.294,649.434,658.536,940.551,"1,170.42","1,261.83","1,252.64","1,592.59","1,868.52","2,127.85","2,069.69","2,210.83","2,593.84","2,504.54","2,221.40","2,246.31","2,202.79","1,955.28","1,951.98","2,085.57","2,510.04","2,822.21","2,866.05","3,004.95","3,444.72","3,770.15","3,426.67","3,423.47","3,761.14","3,545.95","3,753.69","3,904.92","3,383.09","3,496.61","3,700.61","4,029.14","4,117.07","4,331.70",2017
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.995,42.36,50.424,33.431,12.059,10.121,9.195,7.783,8.333,8.419,9.986,11.228,11.041,9.718,8.866,10.525,11.287,11.219,12.18,12.564,8.112,8.652,10.038,12.425,14.458,17.47,20.411,24.758,28.528,25.59,32.174,39.565,41.939,47.806,38.774,36.893,42.788,47.015,51.815,57.229,61.362,2017
Greece,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",57.01,52.605,54.878,49.603,48.329,47.936,56.421,65.682,76.447,79.25,97.963,105.633,116.466,109.022,116.678,136.942,145.872,143.326,144.644,149.412,132.198,136.284,154.307,202.272,240.774,248.184,273.547,318.94,356.14,330.837,299.919,288.062,245.807,239.937,237.406,195.64,192.77,200.69,218.057,224.033,235.284,2017
Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.056,1.119,1.192,1.261,1.327,2017
Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.319,7.995,8.098,8.406,8.796,10.385,5.615,6.502,7.042,8.118,7.106,8.687,9.625,10.462,11.855,13.314,14.218,16.103,17.488,16.492,17.187,18.703,20.777,21.918,23.965,27.211,30.231,34.113,39.137,37.734,41.338,47.655,50.388,53.851,58.722,63.767,68.663,75.62,79.109,82.758,88.09,2017
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.866,6.034,7.304,8.374,8.79,8.79,8.695,10.251,11.503,12.465,13.489,2016
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.171,0.219,0.249,0.281,0.195,0.287,0.28,0.237,0.221,0.266,0.324,0.456,0.5,0.386,0.435,0.46,0.438,0.416,0.376,0.406,0.364,0.38,0.41,0.477,0.532,0.588,0.592,0.697,0.869,0.829,0.851,1.099,0.99,1.046,1.055,1.048,1.179,1.35,1.48,1.57,1.714,2016
Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.559,0.544,0.459,0.466,0.465,0.474,0.523,0.655,0.615,0.779,0.652,0.735,0.602,0.721,0.874,0.993,1.116,1.188,1.114,1.147,1.123,1.127,1.16,1.197,1.26,1.311,1.455,1.741,1.916,2.023,2.262,2.582,2.865,2.988,3.079,3.197,3.504,3.561,3.636,3.875,4.667,2017
Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.546,1.702,1.77,1.9,2.105,2.337,2.597,1.279,0.841,0.778,0.99,0.888,0.533,0.61,1.775,2.813,2.908,3.339,3.724,4.154,3.954,3.596,3.472,2.96,3.538,4.31,4.756,5.885,6.55,6.584,6.62,7.516,7.89,8.451,8.774,8.672,8.178,8.608,9.717,10.055,10.459,2017
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.104,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.649,18.529,18.499,19.757,20.98,21.644,22.979,23.835,24.496,25.135,2016
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.644,248.484,262.601,275.673,291.438,309.359,320.897,341.447,360.315,380.858,403.992,2017
Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.038,23.626,24.06,21.836,21.17,21.438,24.694,27.14,29.699,30.319,34.36,34.748,38.725,40.12,43.145,46.432,46.66,47.29,48.77,49.17,47.311,53.821,67.717,85.325,104.144,113.283,115.304,140.057,159.15,130.647,130.793,140.863,127.706,135.213,140.167,122.823,125.854,139.218,156.393,164.527,175.265,2017
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.415,3.525,3.235,2.781,2.88,2.998,4,5.541,6.123,5.682,6.483,6.926,7.084,6.209,6.377,7.107,7.449,7.581,8.494,8.972,9.004,8.205,9.295,11.414,13.835,16.813,17.216,21.515,17.905,13.165,13.684,15.159,14.724,16.034,17.758,17.344,20.716,24.478,26.674,28.252,30.26,2017
India,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,300.187,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.841,476.636,493.934,523.768,618.369,721.589,834.218,949.118,"1,238.70","1,224.10","1,365.37","1,708.46","1,823.05","1,827.64","1,856.72","2,039.13","2,102.39","2,273.56","2,602.31","2,689.99","2,957.72","3,258.88",2018
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.445,"1,015.41","1,005.27","1,066.84","1,175.08",2017
Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",93.531,101.451,127.557,155.942,160.074,179.718,208.782,276.875,318.601,379.167,575.265,302.498,49.423,65.03,82.405,115.703,157.347,185.727,208.928,277.095,365.946,334.323,129.778,152.973,186.857,228.18,270.333,351.769,406.212,410.557,482.384,577.214,389.199,396.408,423.409,375.404,404.445,430.709,430.082,333.603,340.982,2017
Iraq,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.722,170.677,192.358,230.911,250.07,260.411,2017
Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.419,20.417,21.306,20.612,19.877,21.161,28.507,33.649,36.863,38.018,48.184,48.825,54.894,51.348,55.825,69.238,75.904,82.931,90.192,98.826,100.12,109.189,128.333,164.553,194.065,211.989,232.296,270.3,276.334,236.898,222.528,238.081,225.133,238.699,259.175,290.826,301.931,331.545,366.448,379.799,403.54,2017
Israel,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.834,25.254,27.065,30.185,28.576,26.559,32.696,39.052,48.377,49.222,58.082,65.887,73.624,73.996,84.468,100.344,109.959,114.727,115.98,117.189,132.339,130.708,121.069,126.864,135.446,142.463,153.967,178.707,215.839,207.417,233.611,261.627,257.295,292.492,308.415,299.094,317.748,350.743,365.599,376.127,397.988,2017
Italy,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",482.429,437.494,432.37,448.685,443.305,457.787,648.373,813.777,901.599,937.705,"1,170.29","1,236.20","1,311.78","1,054.84","1,087.99","1,171.40","1,309.29","1,240.40","1,267.96","1,250.17","1,144.88","1,163.11","1,270.43","1,572.35","1,800.20","1,855.66","1,944.26","2,206.11","2,402.06","2,190.70","2,129.02","2,278.38","2,073.97","2,131.16","2,155.15","1,833.79","1,860.15","1,938.68","2,086.91","2,112.80","2,191.67",2017
Jamaica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.516,5.529,6.543,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.211,13.864,14.152,14.022,14.772,15.424,15.744,16.436,2016
Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,105.39","1,218.99","1,134.52","1,243.32","1,318.38","1,398.89","2,078.95","2,532.81","3,071.68","3,054.91","3,132.82","3,584.42","3,908.81","4,454.14","4,907.04","5,449.12","4,833.71","4,414.74","4,032.51","4,562.08","4,887.52","4,303.54","4,115.12","4,445.66","4,815.17","4,755.41","4,530.38","4,515.26","5,037.91","5,231.38","5,700.10","6,157.46","6,203.21","5,155.72","4,850.41","4,394.98","4,950.07","4,873.20","5,070.63","5,220.57","5,371.69",2017
Jordan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.908,4.388,4.684,4.922,4.972,5.001,6.404,6.751,6.324,4.252,4.161,4.345,5.369,5.532,6.197,6.65,6.928,7.246,7.912,8.149,8.461,8.975,9.582,10.196,11.411,12.589,15.057,17.111,21.963,23.82,26.425,28.84,30.981,33.641,35.878,37.57,38.709,40.125,41.869,43.988,46.305,2017
Kazakhstan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.875,5.152,11.648,16.594,20.893,22.13,21.624,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.441,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,159.407,184.209,195.738,209.133,2017
Kenya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.099,9.513,9.159,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.958,35.895,37.022,40,41.672,50.422,55.125,61.547,64.236,70.876,79.223,89.591,98.264,107.049,2016
Kiribati,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.073,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.157,0.182,0.19,0.186,0.179,0.169,0.182,0.197,0.205,0.211,0.22,2016
Korea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",64.981,72.426,77.773,87.025,96.598,100.273,115.537,146.134,196.965,243.528,279.348,325.733,350.051,386.302,455.605,556.129,598.097,557.504,374.242,485.25,561.634,533.05,609.021,680.518,764.881,898.137,"1,011.80","1,122.68","1,002.22",901.935,"1,094.50","1,202.46","1,222.81","1,305.61","1,411.33","1,382.76","1,414.80","1,540.46","1,655.61","1,699.68","1,781.77",2017
Kosovo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.095,2.512,2.701,3.354,3.62,3.74,3.918,4.743,5.714,5.668,5.841,6.699,6.503,7.075,7.398,6.444,6.717,7.094,7.839,8.208,8.84,2017
Kuwait,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",28.724,25.249,21.583,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,110.873,120.684,144.523,152.374,158.093,2017
Kyrgyz Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.565,8.013,8.518,9.095,2016
Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266,14.363,15.916,16.974,18.23,19.984,21.887,2016
Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.694,2.728,4.532,5.41,5.97,6.527,7.178,7.534,7.941,8.351,9.553,11.753,14.377,16.949,21.466,30.946,35.763,26.238,23.809,28.496,28.141,30.26,31.385,26.986,27.583,30.325,34.286,35.78,38.322,2017
Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.018,3.84,2.619,3.609,4.266,3.563,2.778,3.252,3.267,2.68,2.799,4.39,5.468,7.43,8.982,10.963,12.816,15.525,17.048,17.162,17.007,17.349,18.825,19.473,21.146,21.49,22.049,24.873,29.228,35.477,38.42,40.076,44.047,46.471,48.525,49.91,51.484,54.184,56.709,59.732,62.447,2016
Lesotho,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.47,0.477,0.397,0.436,0.391,0.312,0.359,0.468,0.531,0.552,0.666,0.756,0.877,0.876,0.923,1.038,0.983,1.036,0.955,0.937,0.911,0.754,0.825,1.193,1.488,1.596,1.634,1.891,1.755,2.074,2.525,2.779,2.655,2.506,2.647,2.351,2.442,2.749,2.981,2.964,3.068,2016
Liberia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.874,0.906,0.927,0.748,0.897,0.949,1.119,1.373,1.726,1.768,1.998,2.398,2.721,3.064,3.138,3.164,3.278,3.285,3.218,3.245,3.342,2017
Libya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.194,18.539,30.565,43.236,51.33,55.514,2016
Lithuania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.698,8.385,10.121,11.241,10.973,11.539,12.253,14.275,18.803,22.647,26.182,30.235,39.787,48.125,37.533,37.2,43.564,42.887,46.423,48.632,41.53,42.805,47.264,52.468,54.485,58.119,2017
Luxembourg,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.46,5.572,4.575,4.491,4.403,4.562,6.638,8.244,9.339,9.944,12.68,13.738,15.39,15.778,17.558,20.655,20.548,18.503,19.342,21.173,21.322,21.287,23.689,29.608,34.722,37.408,42.45,50.959,56.114,51.501,53.312,60.06,56.709,61.759,66.433,57.814,58.656,62.53,68.993,71.494,76.267,2017
FYR Macedonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.659,9.751,10.824,11.378,10.067,10.759,11.366,12.374,12.783,13.617,2017
Madagascar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.042,3.595,3.526,3.512,2.939,2.858,3.258,2.566,2.442,2.498,3.081,2.677,3.001,3.371,2.977,3.16,3.995,3.546,3.738,3.721,3.878,4.53,4.397,5.474,4.364,5.039,5.516,7.343,9.413,8.55,8.73,9.893,9.92,10.602,10.674,9.744,10.001,11.5,12.499,13.553,14.603,2016
Malawi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.146,2.146,2.046,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.475,6.24,6.885,7.327,7.744,2011
Malaysia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",26.382,26.938,28.868,32.286,36.568,33.612,29.879,34.046,37.315,41.095,46.575,52.765,63.521,71.837,79.985,95.395,108.3,107.57,77.508,84.996,100.719,99.639,108.296,118.344,133.966,148.245,168.084,199.96,238.645,208.914,255.024,298.986,313.539,324.938,340.066,301.793,297.832,312.386,347.29,372.628,401.5,2017
Maldives,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.284,3.69,3.995,4.213,4.505,4.809,5.151,5.562,2017
Mali,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.962,3.468,3.902,4.712,5.45,6.255,6.906,8.157,9.797,10.207,10.699,12.99,12.45,13.25,14.369,13.106,14.014,15.366,17.407,18.488,20.027,2016
Malta,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.367,3.433,3.475,3.682,3.842,4.059,4.068,4.474,5.422,6.049,6.402,6.79,7.944,9.02,8.55,8.757,9.517,9.215,10.149,11.252,10.569,11.265,12.578,14.27,15.061,16.238,2017
Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.108,0.11,0.109,0.112,0.117,0.127,0.129,0.133,0.14,0.147,0.154,0.155,0.155,0.168,0.176,0.187,0.192,0.185,0.181,0.196,0.222,0.23,0.238,0.246,2017
Mauritania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.213,1.39,1.464,1.25,1.316,1.415,1.443,1.402,1.371,1.406,1.294,1.296,1.324,1.563,1.831,2.184,3.041,3.331,3.947,3.67,4.33,5.176,5.234,5.724,5.391,4.832,4.686,4.935,5.2,5.243,5.47,2014
Mauritius,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.225,1.163,1.116,1.182,1.094,1.107,1.495,1.893,2.196,2.256,2.706,2.977,3.352,3.455,3.835,4.38,4.529,4.253,4.296,4.536,4.869,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.329,14.033,14.889,16.117,2017
Mexico,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,"1,052.70","1,109.99",900.047,"1,057.80","1,180.49","1,201.09","1,274.44","1,314.57","1,170.57","1,077.78","1,151.05","1,199.26","1,242.39","1,306.77",2017
Micronesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.222,0.219,0.207,0.219,0.221,0.234,0.241,0.243,0.246,0.241,0.251,0.254,0.257,0.264,0.281,0.297,0.311,0.327,0.316,0.318,0.315,0.323,0.328,0.335,0.342,0.348,2015
Moldova,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.012,1.301,1.357,1.689,1.986,2.26,1.989,1.373,1.541,1.736,1.948,2.321,3.045,3.502,3.995,5.158,7.096,6.373,6.813,8.225,8.536,9.359,9.357,7.614,7.965,9.556,11.436,12.742,13.13,2017
Mongolia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.188,3.336,3.463,3.59,3.316,3.851,4.25,4.776,4.797,4.997,3.131,3.297,1.831,0.902,1.082,1.697,1.573,1.38,1.314,1.236,1.329,1.485,1.634,1.864,2.317,2.524,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.135,12.724,14.087,15.413,2016
Montenegro,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.966,1.15,1.268,1.681,2.072,2.262,2.724,3.686,4.567,4.17,4.147,4.543,4.09,4.466,4.595,4.055,4.376,4.784,5.389,5.607,5.954,2016
Morocco,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.346,109.326,118.178,122.458,130.417,2016
Mozambique,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.401,4.195,4.285,3.838,3.998,5.285,6.203,2.803,2.463,2.574,4.13,3.217,2.177,2.265,2.458,2.524,3.468,4.11,4.718,5.167,4.667,4.567,4.977,5.549,6.749,7.595,8.304,9.466,11.555,11.243,10.457,13.131,15.178,16.013,16.872,14.798,10.897,12.586,14.601,15.602,16.595,2017
Myanmar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.441,9.777,10.259,7.462,7.808,12.058,12.173,13.809,16.707,23.25,34.49,37.998,49.541,59.977,59.938,60.133,65.575,59.485,63.251,67.284,71.543,73.954,82.064,2017
