Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.018,1.12,1.171,1.243,1.355,1.418,1.557,1.714,1.823,2.018,2.024,2.032,1.957,2.075,2.163,2.229,2.377,2.513,2.833,2.969,3.059,3.055,3.106,3.21,3.444,3.82,4.217,4.674,4.785,4.466,4.53,4.658,4.61,4.677,4.696,4.725,4.841,4.99,5.172,5.207,5.339,2017
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.364,11.02,15.152,10.179,13.953,13.543,14.589,11.678,12.758,12.421,14.654,17.812,23.141,30.211,36.963,45.275,60.746,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.439,56.934,59.964,62.151,2017
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",124.139,102.792,90.44,85.492,81.672,84.92,117.689,146.189,158.943,160.672,201.22,206.469,229.957,219.891,239.9,289.844,281.447,255.132,260.951,260.538,238.555,238.004,259.662,319.552,371.275,387.992,410.157,472.475,521.084,485.781,484.449,527.492,498.16,521.09,531.614,455.268,467.738,493.669,536.055,545.186,569.851,2017
Belize,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.172,0.179,0.179,0.189,0.211,0.209,0.228,0.267,0.315,0.363,0.412,0.445,0.518,0.56,0.581,0.62,0.641,0.654,0.689,0.732,0.832,0.872,0.933,0.99,1.058,1.114,1.217,1.291,1.369,1.337,1.397,1.487,1.574,1.613,1.704,1.779,1.82,1.854,1.912,1.987,2.056,2016
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.685,1.14,1.128,0.999,1.065,1.156,1.49,1.778,1.867,1.734,2.114,2.161,2.403,2.341,1.629,2.19,2.379,2.286,2.46,2.693,2.576,2.682,3.064,3.912,4.526,4.812,5.147,5.977,7.166,7.116,6.983,7.821,8.157,9.16,9.723,8.295,8.576,9.246,10.546,11.386,12.409,2015
Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.127,0.137,0.144,0.156,0.161,0.167,0.189,0.229,0.262,0.261,0.281,0.244,0.238,0.249,0.253,0.296,0.311,0.348,0.382,0.401,0.436,0.455,0.504,0.575,0.67,0.762,0.858,1.02,1.291,1.214,1.433,1.737,1.814,1.849,1.83,2.028,2.117,2.405,2.624,2.839,3.041,2016
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.343,5.643,5.734,5.97,6.702,7.375,7.917,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,41.833,45.045,48.63,2016
Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.584,4.578,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.169,19.984,20.72,22.17,2017
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.175,1.038,1.095,1.21,1.201,1.118,1.516,2.376,3.084,3.444,3.803,3.806,3.932,3.961,4.261,4.732,4.881,5.024,4.819,5.485,5.803,5.514,5.456,7.539,8.966,10.013,10.175,10.941,11.028,10.272,12.794,15.393,16.11,14.915,16.259,14.445,15.66,17.384,19.07,19.777,21.057,2017
Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",145.767,167.523,179.102,143.601,142.906,226.858,263.163,286.438,319.991,439.278,455.173,399.108,382.329,429.032,546.57,786.536,850.415,884.308,865.115,599.867,655.435,559.962,509.358,557.681,668.432,890.671,"1,106.37","1,396.11","1,694.87","1,667.68","2,207.62","2,613.99","2,464.40","2,471.56","2,456.17","1,800.02","1,793.31","2,055.14","1,909.39","1,929.71","2,027.56",2017
